	Stdev_slope	R2	Stdev_0.05	Stdev_0.1	Stdev_0.2	Stdev_0.3	Mean_0.05	Mean_0.1	Mean_0.2	Mean_0.3	Stdevnorm_0.05	Stdevnorm_0.1	Stdevnorm_0.2	Stdevnorm_0.3
I2FE2SS	0.800554177049533	0.9999980094680397	1.2478727164299904e-05	2.496481821993186e-05	5.0007030740055125e-05	7.520447095739773e-05	0.0003129495815353128	0.00031286787305119014	0.00031287959350389854	0.0003131376251972728	0.03987456095349282	0.07979348590977642	0.15982835499123732	0.24016427572387652
I2FE2SS2	1.0225917583465511	0.9999996028410759	1.1543203429353369e-05	2.3092034570089438e-05	4.6249001608306076e-05	6.954046334170501e-05	0.00022610525699707983	0.00022613271994090258	0.00022631523873016307	0.0002266765815565468	0.0510523443048582	0.1021171751532653	0.20435655092341803	0.30678274246145465
I2FE2ST	0.7369819791220151	0.9999947274634807	6.365697746517975e-06	1.2738079212902966e-05	2.5529665813918968e-05	3.8422805095279695e-05	0.00017383247787800636	0.00017375811744725603	0.00017370488623974343	0.00017378573133187446	0.036619726211262714	0.07330926117319145	0.1469714892112103	0.22109297927287588
I4FE4SR	1.0225917583465511	0.9999996028410759	1.1543203429353369e-05	2.3092034570089438e-05	4.6249001608306076e-05	6.954046334170501e-05	0.00022610525699707983	0.00022613271994090258	0.00022631523873016307	0.0002266765815565468	0.0510523443048582	0.1021171751532653	0.20435655092341803	0.30678274246145465
I4FE4ST	1.0225917583465511	0.9999996028410759	1.1543203429353369e-05	2.3092034570089438e-05	4.6249001608306076e-05	6.954046334170501e-05	0.00022610525699707983	0.00022613271994090258	0.00022631523873016307	0.0002266765815565468	0.0510523443048582	0.1021171751532653	0.20435655092341803	0.30678274246145465
ICDHyr	0.13521357551063318	0.9999499538994896	0.043993179619846036	0.08821218515186646	0.17810539186662666	0.26902683908794267	6.646975237051838	6.646477371762296	6.641606167712476	6.635056514233143	0.006618526179339059	0.013272020683714032	0.026816614440715973	0.04054627696250088
ICYSDS	0.7275917986325154	0.9999984701189488	4.918305537306806e-05	9.839994596343124e-05	0.00019712918066678667	0.0002965042617213788	0.0013563539949336377	0.0013562397504561742	0.0013567719195913012	0.0013583764169456131	0.03626122351302135	0.07255350385529859	0.14529279226693287	0.2182784226982426
IG3PS	1.0007444046198213	0.9999993194018566	0.004114886721768009	0.008233932483227121	0.01650066082979587	0.024818059171270786	0.08240542838095487	0.08243517703486597	0.08252614082941323	0.08266472958698554	0.04993465603679843	0.09988372415024448	0.19994465588671817	0.30022549272547383
IGPDH	1.0007444046198213	0.9999993194018566	0.004114886721768009	0.008233932483227121	0.01650066082979587	0.024818059171270786	0.08240542838095487	0.08243517703486597	0.08252614082941323	0.08266472958698554	0.04993465603679843	0.09988372415024448	0.19994465588671817	0.30022549272547383
IGPS	1.0157685780242536	0.9999965715333244	0.002497316216604768	0.004995780201930751	0.010005031417421598	0.01504378299617721	0.049407032128045314	0.04938669507117079	0.04936386357852925	0.04936635912939745	0.05054576462177731	0.10115639839295522	0.2026792615514251	0.3047375431666927
ILETA	0.9915416794435482	0.999999221907581	0.01251585531544836	0.025036293039786335	0.05013425537008828	0.07534625304336251	-0.25278118733102106	-0.25289173925897185	-0.25308991524386276	-0.2532686356091572	0.049512605932413176	0.09900004291618285	0.19808871215505297	0.29749539599382707
IMPC	0.5123071027626211	0.9999957586041527	0.012028594734479646	0.024068000185657384	0.04822701222130777	0.0725321565471535	-0.471906459759127	-0.4719123634785272	-0.4719095160773392	-0.4719017617784595	0.02548936232112471	0.0510009952022639	0.10219546455046279	0.153701813432103
